表1
列1	列2	列3	列4	列5	
AASDH	aminoadipate-semialdehyde dehydrogenase		"NRPS998, LYS2, ACSF4"		
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		"LYS5, CGI-80, AASD-PPT, ACPS"		
AASS	aminoadipate-semialdehyde synthase		"LORSDH, LKRSDH"		
AATBC	apoptosis associated transcript in bladder cancer				
AATF	apoptosis antagonizing transcription factor		"DED, CHE-1, CHE1, BFR2"		
AATK	apoptosis associated tyrosine kinase		"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77"		
AAVS1	adeno-associated virus integration site 1		AAV		
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		INXS		
ABAT	4-aminobutyrate aminotransferase		GABAT		
ABCA1	ATP binding cassette subfamily A member 1	"ABC1, HDLDT1"	TGD	"ATP-binding cassette, sub-family A (ABC1), member 1"	
ABCA2	ATP binding cassette subfamily A member 2	ABC2		"ATP-binding cassette, sub-family A (ABC1), member 2"	
ABCA3	ATP binding cassette subfamily A member 3	ABC3	"ABC-C, EST111653, LBM180"	"ATP-binding cassette, sub-family A (ABC1), member 3"	
ABCA4	ATP binding cassette subfamily A member 4	"STGD1, ABCR, RP19, STGD"	"FFM, ARMD2, CORD3"	"ATP-binding cassette transporter, retinal-specific, ""ATP-binding cassette, sub-family A (ABC1), member 4"""	
ABCA5	ATP binding cassette subfamily A member 5		EST90625	"ATP-binding cassette, sub-family A (ABC1), member 5"	
ABCA6	ATP binding cassette subfamily A member 6		EST155051	"ATP-binding cassette, sub-family A (ABC1), member 6"	
ABCA7	ATP binding cassette subfamily A member 7		ABCX	"ATP-binding cassette, sub-family A (ABC1), member 7"	
ABCA8	ATP binding cassette subfamily A member 8		KIAA0822	"ATP-binding cassette, sub-family A (ABC1), member 8"	
ABCA9	ATP binding cassette subfamily A member 9		EST640918	"ATP-binding cassette, sub-family A (ABC1), member 9"	
ABCA9-AS1	ABCA9 antisense RNA 1			ABCA9 antisense RNA 1 (non-protein coding)	
ABCA10	ATP binding cassette subfamily A member 10		EST698739	"ATP-binding cassette, sub-family A (ABC1), member 10"	
ABCA11P	"ATP binding cassette subfamily A member 11, pseudogene"	ABCA11	"EST1133530, FLJ14297"	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	
ABCA12	ATP binding cassette subfamily A member 12	ICR2B	"DKFZP434G232, LI2"	"ichthyosis congenita II, lamellar ichthyosis B, ""ATP-binding cassette, sub-family A (ABC1), member 12"""	
ABCA13	ATP binding cassette subfamily A member 13		"FLJ33876, FLJ33951"	"ATP-binding cassette, sub-family A (ABC1), member 13"	
ABCA17P	"ATP binding cassette subfamily A member 17, pseudogene"			"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"	
ABCB1	ATP binding cassette subfamily B member 1	"PGY1, MDR1, CLCS"	"P-gp, CD243, GP170, ABC20"	"colchicin sensitivity, ""ATP-binding cassette, sub-family B (MDR/TAP), member 1"""	
ABCB4	ATP binding cassette subfamily B member 4	"PGY3, MDR3"	"MDR2, PFIC-3, GBD1"	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	
ABCB5	ATP binding cassette subfamily B member 5		"EST422562, ABCB5beta, ABCB5alpha"	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		"EST45597, umat, MTABC3"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6, ""ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"""	
ABCB7	ATP binding cassette subfamily B member 7	ABC7	"EST140535, Atm1p, ASAT"	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	
ABCB8	ATP binding cassette subfamily B member 8		"EST328128, M-ABC1, MABC1"	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	
ABCB9	ATP binding cassette subfamily B member 9		EST122234	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"	
ABCB10	ATP binding cassette subfamily B member 10		"EST20237, M-ABC2, MTABC2"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	
ABCB10P1	ABCB10 pseudogene 1	"ABCB10P, ABCB10P2"	"M-ABC2, MABC2"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene, ""ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1"", ""ATP binding cassette subfamily B member 10 pseudogene 1"""	
ABCB10P3	ABCB10 pseudogene 3			"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3, ""ATP binding cassette subfamily B member 10 pseudogene 3"""	
ABCB10P4	ABCB10 pseudogene 4			"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4, ""ATP binding cassette subfamily B member 10 pseudogene 4"""	
ABCB11	ATP binding cassette subfamily B member 11	"BSEP, PFIC2"	"ABC16, SPGP, PFIC-2, PGY4"	"progressive familial intrahepatic cholestasis 2, ""bile salt export pump"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 11"""	
ABCC1	ATP binding cassette subfamily C member 1	"MRP, MRP1"	GS-X	"multidrug resistance associated protein 1, ""ATP-binding cassette, sub-family C (CFTR/MRP), member 1"""	
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	"DJS, MRP2, cMRP"	"canalicular multispecific organic anion transporter 1, ""ATP-binding cassette, sub-family C (CFTR/MRP), member 2"""	
ABCC3	ATP binding cassette subfamily C member 3		"MRP3, cMOAT2, EST90757, MLP2, MOAT-D"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	
ABCC4	ATP binding cassette subfamily C member 4		"MRP4, EST170205, MOAT-B, MOATB"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	
ABCC5	ATP binding cassette subfamily C member 5		"MRP5, SMRP, EST277145, MOAT-C"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"	
ABCC5-AS1	ABCC5 antisense RNA 1			ABCC5 antisense RNA 1 (non-protein coding)	
ABCC6	ATP binding cassette subfamily C member 6	"ARA, PXE"	"MRP6, EST349056, MLP1, URG7"	"pseudoxanthoma elasticum, ""ATP-binding cassette, sub-family C (CFTR/MRP), member 6"""	
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1			"ATP-binding cassette, sub-family C, member 6 pseudogene 1, ""ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)"", ""ATP binding cassette subfamily C member 6 pseudogene 1 (functional)"""	
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2			"ATP-binding cassette, sub-family C, member 6 pseudogene 2"	
ABCC8	ATP binding cassette subfamily C member 8	"SUR, HRINS"	"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	
ABCC9	ATP binding cassette subfamily C member 9		"SUR2, CMD1O"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"	
ABCC10	ATP binding cassette subfamily C member 10		"EST182763, MRP7, SIMRP7"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"	
ABCC11	ATP binding cassette subfamily C member 11		MRP8	"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"	
ABCC12	ATP binding cassette subfamily C member 12		MRP9	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		"PRED6, C21orf73, ABCC13P"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"	
ABCD1	ATP binding cassette subfamily D member 1	ALD	"AMN, ALDP, adrenoleukodystrophy"	"ATP-binding cassette, sub-family D (ALD), member 1"	
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1"	
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2"	
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3"	
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4"	
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5"	
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	"ALDR, ALDRP"	"ATP-binding cassette, sub-family D (ALD), member 2"	
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	"PMP70, ZWS2"	"ATP-binding cassette, sub-family D (ALD), member 3"	
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	"PMP69, P70R, EST352188"	"ATP-binding cassette, sub-family D (ALD), member 4"	
ABCE1	ATP binding cassette subfamily E member 1	"RNASEL1, RNASELI, RNS4I"	"RLI, OABP, RLI1"	"ATP-binding cassette, sub-family E (OABP), member 1"	
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	"ATP-binding cassette, sub-family F (GCN20), member 1"	
ABCF1-DT	ABCF1 divergent transcript				
ABCF2	ATP binding cassette subfamily F member 2		"EST133090, ABC28, M-ABC1, HUSSY-18"	"ATP-binding cassette, sub-family F (GCN20), member 2"	
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1"	
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2"	
ABCF3	ATP binding cassette subfamily F member 3		EST201864	"ATP-binding cassette, sub-family F (GCN20), member 3"	
ABCG1	ATP binding cassette subfamily G member 1		ABC8	"ATP-binding cassette, sub-family G (WHITE), member 1"	
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		"EST157481, MXR, BCRP, ABCP, CD338"	"ATP-binding cassette, sub-family G (WHITE), member 2, ""ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"""	
ABCG4	ATP binding cassette subfamily G member 4		WHITE2	"ATP-binding cassette, sub-family G (WHITE), member 4"	
ABCG5	ATP binding cassette subfamily G member 5		STSL	"ATP-binding cassette, sub-family G (WHITE), member 5"	
ABCG8	ATP binding cassette subfamily G member 8		GBD4	"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2), ""ATP-binding cassette, sub-family G (WHITE), member 8"""	
ABHD1	abhydrolase domain containing 1		"LABH1, FLJ36128"		
ABHD2	abhydrolase domain containing 2		LABH2		
ABHD3	abhydrolase domain containing 3		LABH3		
ABHD4	abhydrolase domain containing 4		FLJ12816		
ABHD5	abhydrolase domain containing 5		"CGI-58, NCIE2"		
ABHD6	abhydrolase domain containing 6				
ABHD8	abhydrolase domain containing 8		"FLJ11743, MGC14280, MGC2512"		
ABHD10	abhydrolase domain containing 10		FLJ11342		
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	Williams Beuren syndrome chromosome region 21	
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	"WBSCR26, LINC00035"	NCRNA00035	"Williams Beuren syndrome chromosome region 26, ""Williams Beuren syndrome chromosome region 26 (non-protein coding)"", ""long intergenic non-protein coding RNA 35"""	
ABHD12	abhydrolase domain containing 12	C20orf22	"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A"	chromosome 20 open reading frame 22	
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	chromosome 14 open reading frame 29	
ABHD13	abhydrolase domain containing 13	C13orf6	"bA153I24.2, FLJ14906, BEM46L1"	chromosome 13 open reading frame 6	
ABHD14A	abhydrolase domain containing 14A		"DKFZP564O243, DORZ1"		
ABHD14A-ACY1	ABHD14A-ACY1 readthrough			ABHD14A-ACY1 readthrough (NMD candidate)	
ABHD14B	abhydrolase domain containing 14B		"MGC15429, CIB"		
ABHD15	abhydrolase domain containing 15				
ABHD15-AS1	ABHD15 antisense RNA 1		"linc-TP53I13, lnc-TP53I13"		
ABHD16A	abhydrolase domain containing 16A	BAT5	"NG26, D6S82E"	HLA-B associated transcript 5	
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	chromosome 20 open reading frame 135	
ABHD17A	abhydrolase domain containing 17A	"C19orf27, FAM108A1"	MGC5244	"chromosome 19 open reading frame 27, ""family with sequence similarity 108, member A1"""	
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	"FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P"	C1orf47	"family with sequence similarity 108, member A2, ""abhydrolase domain containing 17A pseudogene 2"", ""family with sequence similarity 108, member A3"", ""family with sequence similarity 108, member A11, pseudogene"", ""family with sequence similarity 108, member A3, pseudogene"""	
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	"FAM108A4, FAM108A4P"		"family with sequence similarity 108, member A4, ""family with sequence similarity 108, member A4, pseudogene"""	
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	"FAM108A5, FAM108A5P"		"family with sequence similarity 108, member A5, ""family with sequence similarity 108, member A5, pseudogene"""	
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	"FAM108A6, FAM108A6P"		"family with sequence similarity 108, member A6, ""family with sequence similarity 108, member A6, pseudogene"""	
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		"family with sequence similarity 108, member A7, pseudogene"	
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		"family with sequence similarity 108, member A8, pseudogene"	
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		"family with sequence similarity 108, member A9, pseudogene"	
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		"family with sequence similarity 108, member A10, pseudogene"	
ABHD17B	abhydrolase domain containing 17B	"C9orf77, FAM108B1"	CGI-67	"chromosome 9 open reading frame 77, ""family with sequence similarity 108, member B1"""	
ABHD17C	abhydrolase domain containing 17C	FAM108C1		"family with sequence similarity 108, member C1"	
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	chromosome 4 open reading frame 29	
ABI1	abl interactor 1	SSH3BP1	"E3B1, ABI-1"	"spectrin SH3 domain binding protein 1, ""abl-interactor 1"""	
ABI1P1	abl interactor 1 pseudogene 1	"SSH3BP1P, ABI1P"		"spectrin SH3 domain binding protein 1 pseudogene, ""abl-interactor 1 pseudogene"""	
ABI2	abl interactor 2		"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	abl-interactor 2	
ABI3	ABI family member 3		"NESH, SSH3BP3"	"ABI family, member 3"	
ABI3BP	ABI family member 3 binding protein		"NESHBP, DKFZP586L2024, TARSH"	"ABI family, member 3 (NESH) binding protein"	
ABITRAM	actin binding transcription modulator	"C9orf6, FAM206A"	"CG-8, FLJ20457, Simiate"	"chromosome 9 open reading frame 6, ""family with sequence similarity 206, member A"", ""family with sequence similarity 206 member A"""	
ABITRAMP1	ABITRAM pseudogene 1	FAM206BP		"family with sequence similarity 206, member B, pseudogene, ""family with sequence similarity 206 member B, pseudogene"""	
ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	ABL	"JTK7, c-ABL, p150"	"v-abl Abelson murine leukemia viral oncogene homolog 1, ""c-abl oncogene 1, receptor tyrosine kinase"", ""c-abl oncogene 1, non-receptor tyrosine kinase"""	
ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	ABLL	ARG	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene), ""v-abl Abelson murine leukemia viral oncogene homolog 2"", ""c-abl oncogene 2, non-receptor tyrosine kinase"""	
ABLIM1	actin binding LIM protein 1	"LIMAB1, ABLIM"	"abLIM, limatin"		
ABLIM2	actin binding LIM protein family member 2		KIAA1808	"actin binding LIM protein 2, ""actin binding LIM protein family, member 2"""	
ABLIM3	actin binding LIM protein family member 3		KIAA0843	"actin binding LIM protein family, member 3"	
ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		"A3GALNT, A3GALT1"	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	
ABR	ABR activator of RhoGEF and GTPase		MDB	"active BCR-related gene, ""ABR, RhoGEF and GTPase activating protein"""	
ABRA	actin binding Rho activating protein		STARS		
ABRACL	ABRA C-terminal like	C6orf115	"PRO2013, HSPC280, Costars"	chromosome 6 open reading frame 115	
ABRAXAS1	"abraxas 1, BRCA1 A complex subunit"	"CCDC98, FAM175A"	"FLJ13614, ABRA1, ABRAXAS"	"coiled-coil domain containing 98, ""family with sequence similarity 175, member A"", ""family with sequence similarity 175 member A"", ""Abraxas 1, BRCA1 A complex subunit"""	
ABRAXAS2	"abraxas 2, BRISC complex subunit"	"KIAA0157, FAM175B"	"Em:AC068896.4, ABRO1"	"KIAA0157, ""family with sequence similarity 175, member B"", ""family with sequence similarity 175 member B"""	
ABT1	activator of basal transcription 1		Esf2		
ABT1P1	activator of basal transcription 1 pseudogene 1				
ABTB1	ankyrin repeat and BTB domain containing 1		"BPOZ, EF1ABP, Btb3, BTBD21"	ankyrin repeat and BTB (POZ) domain containing 1	
ABTB2	ankyrin repeat and BTB domain containing 2		"DKFZP586C1619, BTBD22, ABTB2A"	ankyrin repeat and BTB (POZ) domain containing 2	
ACAA1	acetyl-CoA acyltransferase 1			acetyl-Coenzyme A acyltransferase 1	
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	acetyl-Coenzyme A acyltransferase 2	
ACACA	acetyl-CoA carboxylase alpha	"ACAC, ACC"	ACC1	acetyl-Coenzyme A carboxylase alpha	
ACACB	acetyl-CoA carboxylase beta		"HACC275, ACC2, ACCB"	acetyl-Coenzyme A carboxylase beta	
ACAD8	acyl-CoA dehydrogenase family member 8			"acyl-Coenzyme A dehydrogenase family, member 8, ""acyl-CoA dehydrogenase family, member 8"""	
ACAD9	acyl-CoA dehydrogenase family member 9		"NPD002, MGC14452"	"acyl-Coenzyme A dehydrogenase family, member 9, ""acyl-CoA dehydrogenase family, member 9"""	
ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	"acyl-Coenzyme A dehydrogenase family, member 10, ""acyl-CoA dehydrogenase family, member 10"""	
ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	"acyl-Coenzyme A dehydrogenase family, member 11, ""acyl-CoA dehydrogenase family, member 11"""	
ACADL	acyl-CoA dehydrogenase long chain		"LCAD, ACAD4"	"acyl-Coenzyme A dehydrogenase, long chain"	
ACADM	acyl-CoA dehydrogenase medium chain		"MCAD, MCADH, ACAD1"	"acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	
ACADS	acyl-CoA dehydrogenase short chain		"SCAD, ACAD3"	"acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"	
ACADSB	acyl-CoA dehydrogenase short/branched chain		"SBCAD, ACAD7"	"acyl-Coenzyme A dehydrogenase, short/branched chain"	
ACADVL	acyl-CoA dehydrogenase very long chain		"VLCAD, LCACD, ACAD6"	"acyl-Coenzyme A dehydrogenase, very long chain"	
ACAN	aggrecan	"MSK16, CSPG1, AGC1"	CSPGCP	"chondroitin sulfate proteoglycan 1, ""aggrecan 1"""	
ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	CENTB1	KIAA0050	"centaurin, beta 1"	
ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	CENTB2	"KIAA0041, CNT-B2"	"centaurin, beta 2"	
ACAP2-IT1	ACAP2 intronic transcript 1			ACAP2 intronic transcript 1 (non-protein coding)	
ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	CENTB5	KIAA1716	"centaurin, beta 5"	
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	acetyl-Coenzyme A acetyltransferase 1	
ACAT2	acetyl-CoA acetyltransferase 2			"acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase), ""acetyl-Coenzyme A acetyltransferase 2"""	
ACBD3	acyl-CoA binding domain containing 3	"GOLPH1, GOCAP1"	"GCP60, PAP7"	"golgi complex associated protein 1, 60kDa, ""acyl-Coenzyme A binding domain containing 3"""	
ACBD3-AS1	ACBD3 antisense RNA 1		RP11-275I14.4		
ACBD4	acyl-CoA binding domain containing 4		FLJ13322	acyl-Coenzyme A binding domain containing 4	
ACBD5	acyl-CoA binding domain containing 5		"DKFZp434A2417, KIAA1996"	acyl-Coenzyme A binding domain containing 5	
ACBD6	acyl-CoA binding domain containing 6		MGC2404	acyl-Coenzyme A binding domain containing 6	
ACBD7	acyl-CoA binding domain containing 7		"FLJ38219, bA455B2.2"	acyl-Coenzyme A binding domain containing 7	
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		"PHACS, ACS"	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	
ACD	ACD shelterin complex subunit and telomerase recruitment factor		"Ptop, Pip1, Tpp1, Tint1"	adrenocortical dysplasia homolog (mouse)	
ACE	angiotensin I converting enzyme	DCP1	"ACE1, CD143"	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	
ACE2	angiotensin I converting enzyme 2			angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	
ACE3P	"angiotensin I converting enzyme 3, pseudogene"			"angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene"	
ACER1	alkaline ceramidase 1	ASAH3		N-acylsphingosine amidohydrolase (alkaline ceramidase) 3	
ACER2	alkaline ceramidase 2	ASAH3L	"FLJ41587, ALKCDase2"	N-acylsphingosine amidohydrolase 3-like	
ACER3	alkaline ceramidase 3	PHCA	"FLJ11238, APHC"	"phytoceramidase, alkaline"	
ACHE	acetylcholinesterase (Cartwright blood group)	YT		"acetylcholinesterase (YT blood group), ""acetylcholinesterase (Yt blood group)"""	
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	"KIAA0670, fSAP152"	apoptotic chromatin condensation inducer in the nucleus	
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	"FY, DARC"	"CCBP1, GPD, Dfy, CD234"	"Duffy blood group, ""Duffy blood group, chemokine receptor"", ""Duffy blood group, atypical chemokine receptor"""	
ACKR2	atypical chemokine receptor 2	"CMKBR9, CCBP2"	"CCR10, D6, CCR9"	chemokine binding protein 2	
ACKR3	atypical chemokine receptor 3	"CMKOR1, CXCR7"	"RDC1, GPR159"	"chemokine orphan receptor 1, ""chemokine (C-X-C motif) receptor 7"""	
ACKR4	atypical chemokine receptor 4	CCRL1	"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1"	chemokine (C-C motif) receptor-like 1	
ACLS	acrocallosal syndrome				
ACLY	ATP citrate lyase		"ATPCL, CLATP, ACL"		
ACMSD	aminocarboxymuconate semialdehyde decarboxylase				
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	BAATP1		bile acid-CoA:amino acid N-acyltransferase pseudogene 1	
ACO1	aconitase 1	IREB1	"IRP1, IREBP"	"aconitase 1, soluble"	
ACO2	aconitase 2		ACONM	"aconitase 2, mitochondrial"	
ACOD1	aconitate decarboxylase 1	IRG1	CAD	immunoresponsive 1 homolog (mouse)	
ACOT1	acyl-CoA thioesterase 1		"ACH2, CTE-1, LACH2"		
ACOT2	acyl-CoA thioesterase 2		"Mte1, ZAP128"		
ACOT4	acyl-CoA thioesterase 4		"FLJ31235, PTE-Ib, PTE2B"		
ACOT6	acyl-CoA thioesterase 6	C14orf42		chromosome 14 open reading frame 42	
ACOT7	acyl-CoA thioesterase 7		"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH"		
ACOT8	acyl-CoA thioesterase 8	PTE1	"hACTE-III, hTE, PTE-2, NAP1"	"peroxisomal acyl-CoA thioesterase, ""peroxisomal acyl-CoA thioesterase 1"""	
ACOT9	acyl-CoA thioesterase 9		"CGI-16, MT-ACT48, ACATE2"		
ACOT11	acyl-CoA thioesterase 11	THEA	"STARD14, BFIT, KIAA0707, BFIT1, THEM1"	"thioesterase, adipose associated"	
ACOT12	acyl-CoA thioesterase 12		"Cach, THEAL, STARD15"		
